Sample	Gene	SIFT	Polyphen	MutAssessor	EGFR-R-C	EGFR_pY1068-R-V	EGFR_pY1173-R-C	EGFR_pY992-R-V	NMC	ActiveDriver	CLUMPS	OncodriveCLUST	iSIMPRe	SpacePAC	e-Driver	e-Driver3D	Hotspot	iPAC	LowMACA	GraphPAC
TCGA-06-6693-01	0	NA	NA	NA	2.18164444	2.444017568	1.927882394	-0.955244033	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-14-0787-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-2563-01	2	0.99	0.953	3.33	1.399283446	2.150941063	2.066398229	-1.753501639	2	1	2	2	1	1	2	1	1	2	1	2
TCGA-06-5412-01	0	NA	NA	NA	-2.128198045	-2.568581435	-1.40787202	-3.625514174	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-5417-01	0	NA	NA	NA	-0.625481779	-2.271822193	-1.422943126	-3.49780277	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-12-1602	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
SAMPLE	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-19-0957	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-0237-01	2	0.9299999999999999	0.867	2.79	NA	NA	NA	NA	2	1	2	2	1	1	1	1	1	2	1	2
TCGA-28-1757	2	1.0	1.0	3.325	NA	NA	NA	NA	2	2	1	2	1	1	2	1	1	2	1	2
TCGA-06-1806-01	0	NA	NA	NA	-0.216883538	-1.452005862	-1.154724701	-3.413091148	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-12-1601	2	0.98	0.989	2.22	NA	NA	NA	NA	2	1	1	1	1	1	1	1	1	2	1	1
TCGA-28-1746	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-0165-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-12-1599	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-28-2509-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-08-0386-01	0	NA	NA	NA	0.409322024	2.950703957	2.256112201	-0.975770157	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-02-0003-01	2	1.0	0.998	4.095	-2.459286595	-3.224483386	-1.418789906	-4.108085288	1	1	2	2	1	1	1	1	1	2	1	1
TCGA-19-5947-01	0	NA	NA	NA	-1.364830798	-3.323877026	-1.581848248	-3.759912421	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-14-1043-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-02-2470-01	0	NA	NA	NA	-2.21892703	-2.725633387	-0.816734126	-2.903487985	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-32-4211-01	0	NA	NA	NA	-1.941256607	-2.357135907	-1.467549848	-2.796596624	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-12-5295-01	0	NA	NA	NA	0.888301318	-0.0298165899999996	0.109803511000000	-2.59782605	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-12-0692-01	0	NA	NA	NA	0.512520815	-3.097697674	-1.712894279	-3.288615468	0	0	0	0	0	0	0	0	0	0	0	0
